star_system,num
Kaitlyn Path,0
Brad Road,1
Mcconnell Harbor,2
Palmer Neck,3
Greene River,4
Arellano Union,5
Bauer Ferry,6
Willie Trail,7
Pollard Pines,8
Mann Drives,9
Diaz Plain,10
Richardson Points,11
Barnett Dam,12
Alyssa Mall,13
Pugh Course,14
Fischer Spurs,15
Dalton Cape,16
Reynolds Lock,17
Nichols Cape,18
Bray Valleys,19
Gail Parks,20
Armstrong Glen,21
Welch Trafficway,22
Shelley Flats,23
Regina Points,24
Hampton Run,25
Becky Skyway,26
Wesley Islands,27
Villegas Islands,28
Lawrence Tunnel,29
Hogan Ramp,30
Dillon Dam,31
Lucero Underpass,32
Joann Lodge,33
Abbott Fall,34
Wu Plain,35
Armstrong Trace,36
Berger Path,37
Hampton Dam,38
Rachael Mill,39
Brennan Mountains,40
Elliott Loop,41
Tammie Orchard,42
Gay Garden,43
Mahoney Crossroad,44
Jake Brooks,45
Brandy Forge,46
Ortega Rest,47
West River,48
Kaitlyn Mills,49
Horne Field,50
Gray Wells,51
Eddie Plain,52
Pena Circle,53
Jake Passage,54
Chan Spring,55
Troy Green,56
Benitez Pine,57
Beltran Neck,58
Harold Loop,59
Knight Rapid,60
Kathy Terrace,61
Mccarty Ridge,62
Drew Parks,63
Chelsey Shoals,64
Jeanne Points,65
Edwin Island,66
Wolf Bridge,67
Bridget Prairie,68
Fuller Mews,69
Johnston Viaduct,70
Sexton Key,71
Kerri Drive,72
Gabrielle Parks,73
Williamson Camp,74
English Mews,75
Carr Lock,76
Calhoun Well,77
Rickey Route,78
Calderon Way,79
Harrison Streets,80
Gilmore Lights,81
Cobb Flats,82
Monica Way,83
Browning Street,84
Charlene Spur,85
Greer Extensions,86
Knapp Stravenue,87
Cameron Cliffs,88
Jeremiah Valleys,89
Lara Fall,90
Stephenson Course,91
Holt Route,92
Lloyd Greens,93
Romero Rapid,94
Singleton Circles,95
Gibbs Expressway,96
Holland Shoal,97
Melton Causeway,98
Gloria Fork,99
Becker Mills,100
Malone Row,101
Armstrong Knolls,102
Shaffer Road,103
Carney Unions,104
Meyers Forges,105
Rivas Squares,106
Murray Ridge,107
Tate Corners,108
Bright Drive,109
Brandi Ford,110
Crane Walks,111
Mercer Inlet,112
Simmons Light,113
Watkins Lane,114
Armstrong Divide,115
Brendan Springs,116
Kari Terrace,117
Knox Terrace,118
Eduardo Trail,119
Hicks Mountain,120
Mandy Ranch,121
Angie Avenue,122
Bray Row,123
Lamb Cove,124
Haley Canyon,125
Downs Cliff,126
Dale Rest,127
Bender Highway,128
Skinner Path,129
Rush Inlet,130
Lloyd Overpass,131
Bullock Manor,132
Stokes Cliffs,133
Hardy Spur,134
Henderson Terrace,135
Macias View,136
Massey Alley,137
Le Underpass,138
Heath Ridges,139
Daniels Parkway,140
Misty Views,141
Judy Canyon,142
Clinton Island,143
Mercado Flats,144
Dougherty Prairie,145
Darrell Pike,146
Blake Shoals,147
Nichols Wall,148
Robertson River,149
Santos Junctions,150
Marquez Glen,151
Whitney Crest,152
Jefferson Meadows,153
Randall Ports,154
Walls Village,155
Sellers Fall,156
Melinda Neck,157
Bean Rue,158
Burnett Cliffs,159
Owen Spur,160
Bridges Causeway,161
Reese Loaf,162
Hamilton Extension,163
Wendy Field,164
Caleb Spurs,165
Pennington Turnpike,166
Alisha Turnpike,167
Shaffer Rapids,168
Jack Dale,169
Caitlin Centers,170
Wise Loaf,171
Goodwin Fork,172
Holly Skyway,173
Cordova Hills,174
Ellison Plain,175
Calderon Station,176
Prince Isle,177
Mann Land,178
Mack Crescent,179
Flowers Point,180
Sellers Neck,181
Kemp Coves,182
Klein Circles,183
Desiree Key,184
Lambert Camp,185
Lorraine Track,186
Kara Overpass,187
Tabitha Shoal,188
Whitaker Hollow,189
Patel Gardens,190
Renee Well,191
Hancock Isle,192
Tate Path,193
Yvonne Station,194
Audrey Turnpike,195
Marquez Mall,196
Black Bridge,197
Velez Ridges,198
Ochoa Loaf,199
Tiffany Land,200
Dale Ranch,201
Reeves Courts,202
Freeman Well,203
Rocha Ranch,204
Virginia View,205
Jensen Viaduct,206
Ivan Center,207
Duane Extensions,208
Hoover Meadow,209
Leon Dam,210
Golden Estate,211
Dawson Courts,212
Walton Locks,213
Yesenia Street,214
Wood Neck,215
Kathleen Pass,216
Salazar Prairie,217
Kaylee Curve,218
Terry Wells,219
Stevenson Place,220
Atkinson Crossroad,221
Kline Cliffs,222
Sanders Curve,223
Samuel Camp,224
Rivas Valleys,225
Jake Union,226
Zamora Hollow,227
Estrada Manor,228
Sonya Brook,229
Kurt Rapid,230
Alejandra Tunnel,231
Walls Stream,232
Freeman Mount,233
Floyd Neck,234
Ware Grove,235
Clifford Burg,236
Villanueva Hollow,237
Vaughn Islands,238
Berry Circle,239
Meredith Course,240
Mcmillan Lakes,241
Wilcox Hills,242
Wyatt Spurs,243
Santiago Cliff,244
Blackwell Walks,245
Freeman Spurs,246
Tate Shores,247
Bradshaw Road,248
Santana Mall,249
Pearson Mall,250
Nolan Ridges,251
Sergio Cliff,252
Miranda Villages,253
Sharon Estates,254
Dylan Light,255
Mike Estate,256
Andrea Rue,257
Murphy Greens,258
Mendez Shoal,259
English Common,260
Knox Lane,261
Sally Station,262
Hendricks Club,263
Jenna Meadows,264
Oscar Extensions,265
Reeves Crossing,266
Carney Freeway,267
Mcclure Row,268
Lydia Lodge,269
Schroeder Throughway,270
Cortez Points,271
Kent Greens,272
Harrison Inlet,273
Romero Shore,274
Solomon Center,275
Camacho Pike,276
Lindsay Gateway,277
Shelby Estate,278
Ferguson Rest,279
Hayes Extensions,280
Eddie Terrace,281
Holden Rest,282
Buchanan Road,283
Murphy Shores,284
Shelley Terrace,285
Gill Plaza,286
Mcclain Isle,287
Wayne Light,288
Mike Summit,289
Villarreal Mountains,290
Lyons Prairie,291
Sally Harbors,292
Carter Walk,293
Kyle Freeway,294
Lori Pass,295
Davila Hollow,296
Dorothy Landing,297
Boyd Alley,298
Rose Coves,299
Dustin Coves,300
Ball Canyon,301
Meadows Grove,302
Nolan Forges,303
Kidd Walk,304
Shelly Mountains,305
Buchanan Brook,306
Don Square,307
Weiss Neck,308
Ortega Pike,309
Billy Corners,310
Stuart Mountain,311
Ponce Way,312
Mclean Mews,313
Brittney Estates,314
Hull Loaf,315
Carr Crossroad,316
Chaney Fort,317
Bartlett Mills,318
Castaneda Crossing,319
Wu Islands,320
Decker Ridge,321
Dale Mountains,322
Rose Lake,323
Bond Row,324
Terry Mission,325
Wendy Lights,326
Shelia Causeway,327
Nixon Creek,328
Roth Cliff,329
Garrison Locks,330
Carl Summit,331
Copeland Ville,332
Rick Manor,333
Moyer Row,334
Durham Walks,335
Mccann Mount,336
Kathy Pike,337
Fisher Canyon,338
Madden Mall,339
Gomez Ville,340
Guerra Wall,341
Lucero Squares,342
Bianca Brook,343
Pierce Falls,344
Snow Overpass,345
Combs Overpass,346
Shelton Oval,347
Chris Heights,348
Andres Centers,349
Jim Well,350
Paige Dam,351
Alice Ranch,352
Levine Unions,353
Huff Mountain,354
Judith Manor,355
Cannon Land,356
Casey Keys,357
Molina Junction,358
Shaw Cliffs,359
Willie Bridge,360
Hinton View,361
Joanne Centers,362
Orr Skyway,363
Carol Route,364
Lorraine Pass,365
Salazar Ridge,366
Wheeler Field,367
Rivers Ville,368
Shane Island,369
Galloway Track,370
Adkins Expressway,371
Juan Coves,372
Kristin Mews,373
Victor Manors,374
Knapp Roads,375
Nolan Falls,376
Jackie Shoal,377
Marcia Meadow,378
Duke Lake,379
Rojas Pass,380
Osborn Vista,381
Hendrix Court,382
Alvarado Valleys,383
Cochran Roads,384
Erik Light,385
Meyer Radial,386
Tonya Burgs,387
Palmer Wall,388
Vanessa Ridge,389
Victoria Heights,390
Joy Ferry,391
Cox Centers,392
Alexa Manor,393
Roberta Ridges,394
Silva Lights,395
Burnett Knoll,396
Santiago Creek,397
Morrow Dam,398
Li Lodge,399
Pierce Light,400
Frederick Gateway,401
Jonathon Centers,402
Randall Manors,403
Stein Crossing,404
Hardin Spur,405
Cline Springs,406
Sexton Neck,407
Leon Centers,408
Arthur Ridge,409
Holder Island,410
Rowe Parks,411
Oscar Plains,412
Stanton Stravenue,413
Larson Port,414
Wall Skyway,415
Daugherty Harbors,416
Manuel Parkways,417
Nguyen Knolls,418
Becker Groves,419
Brent Village,420
Fleming Plain,421
Clifford Orchard,422
Goodman Shoals,423
Bonnie Shoal,424
Sherman Alley,425
Church Mews,426
Liu Trail,427
Diamond Fort,428
Stone Coves,429
Kathy Causeway,430
Griffith Ridges,431
Trujillo Heights,432
Madeline Lights,433
Vanessa Ford,434
Tamara Shores,435
Melinda Cliff,436
Ruth Gateway,437
Bowen Oval,438
Nash Road,439
Jody Manor,440
Lynn Burgs,441
Best Freeway,442
Huynh Land,443
Wright Avenue,444
Moon Mount,445
Meyer Crossroad,446
Newman Lake,447
Ricardo Cliff,448
Wayne Green,449
Bowen Mills,450
Vega Mountain,451
Kristine Club,452
Graves Ways,453
Morrow Court,454
Little Crossing,455
Riggs Brooks,456
Dana Pike,457
